emotion,AU,patient_mean,patient_std,normal_mean,normal_std,t_stat,p_value,cohens_d,significant
悲伤,AU01_r,0.1420743185783658,0.03587939295076329,0.15195522373651488,0.04809318229217892,-0.2852258718255673,0.7850610336071703,-0.2016851481377037,False
悲伤,AU02_r,0.08775289132274428,0.02483286450010644,0.08755396636579185,0.026483154754376084,0.009490464644701893,0.992735503537738,0.006710771906879888,False
悲伤,AU04_r,0.7648881574949844,0.4575920517551449,1.2090644712247303,0.45347665472608617,-1.1941955825252386,0.2774667349288367,-0.8444237944666155,False
悲伤,AU05_r,0.059110027540308904,0.0176142060888137,0.05943387721719491,0.011585786204090506,-0.02660558159543632,0.9796371466533365,-0.018812987163545025,False
悲伤,AU06_r,0.9957854175150884,0.6867612005387577,1.437209391723173,0.697436934496177,-0.7811246903598238,0.46442446328208054,-0.5523385655056736,False
悲伤,AU07_r,1.4666708694121071,1.0585453496666357,1.8231313700648815,0.9237958204025813,-0.4394481081627443,0.6757221885057294,-0.31073673726147594,False
悲伤,AU09_r,0.05130863288490284,0.012900802265115452,0.08255084126551188,0.03120691051122316,-1.6024792555153753,0.16016974074539467,-1.133123948285692,False
悲伤,AU10_r,0.9836862534920131,0.6664894813755478,1.99820156585365,0.3332150693595915,-2.358189281100463,0.056423475610100735,-1.667491631987567,False
悲伤,AU12_r,0.47259744585336994,0.2727436736397797,0.5151412521223486,0.37067010900295894,-0.16012123041452064,0.8780402474717953,-0.1132228078380412,False
悲伤,AU14_r,0.6950969796418651,0.4400164814658215,0.7697720907795446,0.23411348019285005,-0.25950161029140706,0.8039226259101498,-0.1834953483658827,False
悲伤,AU15_r,0.138474800361378,0.018004400973542802,0.18721271999396533,0.08292340885712296,-0.994827517476188,0.3582320559434747,-0.7034492837183912,False
悲伤,AU17_r,0.40657344013526997,0.11560915300426962,0.5651779677148709,0.23186288191519988,-1.0603060438659686,0.3298104549917803,-0.7497495937507073,False
悲伤,AU20_r,0.0836114729324289,0.015506881519575506,0.14345144176218752,0.026028411597760814,-3.420932173841998,0.014127551672174452,-2.4189643381029136,True
悲伤,AU23_r,0.11114653428224276,0.03669168031762372,0.1955531455209785,0.027882903428957138,-3.1723920821348113,0.019260355545119158,-2.243219953860036,True
悲伤,AU25_r,0.4420796686516582,0.10391626621045125,0.7113698801321753,0.4117038243770074,-1.0984618596123719,0.31411563929549646,-0.7767298298066935,False
悲伤,AU26_r,0.39321786045532786,0.08837030113620706,0.7285066688746212,0.15583655409023633,-3.2416449706249875,0.017650401529464326,-2.2921891409281954,True
悲伤,AU45_r,0.19846085882928374,0.05472635538321666,0.1767682454149843,0.04399996881320252,0.5350646627293153,0.6118445441445138,0.3783478513891918,False
积极,AU01_r,0.13068317796685838,0.02268479363920094,0.14139913218718336,0.07790917164951887,-0.2287347197062274,0.8266719412650634,-0.1617398713970776,False
积极,AU02_r,0.06898161545167902,0.007403087147894486,0.07511142900810405,0.01968500179187173,-0.504832110219982,0.6316779906830973,-0.35697020849726385,False
积极,AU04_r,0.5551007659569885,0.4313635151971858,1.2292710158035098,0.5941645548437607,-1.5903515200667524,0.16285889810283616,-1.1245483443095343,False
积极,AU05_r,0.04659846882290219,0.008201292847230856,0.04913128768997689,0.005914734427428698,-0.43385350392939365,0.679560530184107,-0.3067807546700187,False
积极,AU06_r,1.1555686425764673,0.6881064425100046,1.5592746450900279,0.7770594383109187,-0.6736822677869884,0.5256002876661511,-0.4763652999173111,False
积极,AU07_r,1.2575192277567644,0.9730743136696295,2.0663364843211083,0.8460062511714089,-1.086468457016255,0.31898096610154814,-0.7682492135014791,False
积极,AU09_r,0.052873100069878075,0.023630808538066282,0.061784320186522856,0.02450382039280633,-0.45340233281180903,0.6661951103538578,-0.32060386413703,False
积极,AU10_r,0.9622638742734022,0.7047752076158862,2.0637703257473348,0.49295416257304436,-2.2182800320142144,0.0683595739505754,-1.5685608532079627,False
积极,AU12_r,0.698960543288693,0.5071598811876354,0.595674097152805,0.38055948912598625,0.2821442009400583,0.787312467912158,0.1995060777571751,False
积极,AU14_r,0.8740433640149227,0.6027580459882121,0.6906375904291209,0.09965413663571926,0.5199657817311308,0.6217063511831561,0.3676713302470469,False
积极,AU15_r,0.1031658637158252,0.023796461346702234,0.21956775787504842,0.05017363310995588,-3.63067250910192,0.010956344334187415,-2.5672731514535445,True
积极,AU17_r,0.29675134438368156,0.09291336786627805,0.6382759824646829,0.1203059900655617,-3.8914932989582103,0.008062805028743935,-2.751701300635359,True
积极,AU20_r,0.07358048794979694,0.006703375404251421,0.12461146365008116,0.038124350366033455,-2.283391731469268,0.06250814262178261,-1.6146017774272114,False
积极,AU23_r,0.0755779388179397,0.007702692390801648,0.1083184728588281,0.03863900373543068,-1.4393220773364506,0.2001175246664921,-1.0177544011961126,False
积极,AU25_r,0.32392770597789156,0.05976700271216066,0.6535827619856477,0.3931201727319451,-1.4359292972155224,0.20103916731314977,-1.0153553433655294,False
积极,AU26_r,0.34474877201656057,0.03552384944619611,0.5919107470263069,0.1645099892461922,-2.5436282624851043,0.043865761255718984,-1.7986167932209727,True
积极,AU45_r,0.18645027245168241,0.027488195997707396,0.1686347383403343,0.0565203425244738,0.49096742536395277,0.6408886826619202,0.3471663958165512,False
中性,AU01_r,0.12917508286673707,0.05380642621134399,0.14513787185256793,0.03685353751081535,-0.4239412148980083,0.6863869955248558,-0.29977170787884505,False
中性,AU02_r,0.07380154485161447,0.01636697907136062,0.10706326467338162,0.04481035439095852,-1.2076300344507767,0.2726280838678656,-0.8539233865246881,False
中性,AU04_r,0.6553881873017064,0.508226252361228,0.8298890667915724,0.4391502939428641,-0.44998626372681483,0.668521183900368,-0.3181883385220289,False
中性,AU05_r,0.03869155830204275,0.004908330228615191,0.05855888437930429,0.014092159474212525,-2.3059972926093044,0.06060028700530693,-1.6305863230018585,False
中性,AU06_r,0.9365063809452376,0.5642047415865257,1.4343346974906992,0.6601569111777692,-0.992923804653428,0.35908686137623097,-0.7021031554719858,False
中性,AU07_r,1.3878948932347839,1.1134382802587004,1.7705578516577547,0.697136066484959,-0.504532246836086,0.6318764423580513,-0.35675817306508145,False
中性,AU09_r,0.05306904374609217,0.006308927734387629,0.05218414689005973,0.018848619678175253,0.07711068945875807,0.9410425769884925,0.05452549141825787,False
中性,AU10_r,0.6787070594156012,0.6667728994082959,1.928480373191159,0.7005183705842708,-2.2382758093819586,0.06650456311274928,-1.582700002979791,False
中性,AU12_r,0.3494498509749245,0.2894947390897816,0.6155832670169874,0.5145554989311946,-0.7807503517799727,0.4646286586626596,-0.552073868157401,False
中性,AU14_r,0.802344630922971,0.7233399729936318,0.6100093333833095,0.29761888680309345,0.42590789884591,0.6850299577789362,0.30116236343485714,False
中性,AU15_r,0.11190852587056115,0.028656844726398647,0.23942638035743102,0.17553657154714514,-1.2418023901194142,0.2606483954773176,-0.8780868909471004,False
中性,AU17_r,0.4409324409798421,0.15775712072932468,0.5464083238746912,0.16486823353907565,-0.8006170425481798,0.45387918085420953,-0.5661217399193366,False
中性,AU20_r,0.0981943626789512,0.02119189581953426,0.17581559485547116,0.11285300598727292,-1.1708541037522435,0.2860492542774111,-0.8279188765433089,False
中性,AU23_r,0.12052017659114292,0.04630583534612393,0.17410374415486618,0.08324408732918515,-0.9743106480406314,0.36753005182265536,-0.68894166621179,False
中性,AU25_r,0.3871324926341298,0.13756360374925422,0.4308521824439728,0.16980729322494317,-0.34650814126488316,0.7407893780740477,-0.2450182564247451,False
中性,AU26_r,0.40340863678553185,0.17670192145945676,0.5132634455005738,0.18299104413991704,-0.7479910095468706,0.48274252047392247,-0.5289095151171638,False
中性,AU45_r,0.19274682174895524,0.009706536832697553,0.21860376655410538,0.06509877461159866,-0.6804406293980764,0.5216021663839402,-0.4811441832422223,False
